Laps;Pilote;Position
1;Max Verstappen;1
1;Yuki Tsunoda;15
2;Max Verstappen;1
2;Yuki Tsunoda;15
3;Max Verstappen;1
3;Yuki Tsunoda;14
4;Max Verstappen;1
4;Yuki Tsunoda;14
5;Max Verstappen;1
5;Yuki Tsunoda;14
6;Max Verstappen;1
6;Yuki Tsunoda;14
7;Max Verstappen;1
7;Yuki Tsunoda;14
8;Max Verstappen;1
8;Yuki Tsunoda;14
9;Max Verstappen;1
9;Yuki Tsunoda;14
10;Max Verstappen;1
10;Yuki Tsunoda;18
11;Max Verstappen;1
11;Yuki Tsunoda;16
12;Max Verstappen;1
12;Yuki Tsunoda;13
13;Max Verstappen;1
13;Yuki Tsunoda;13
14;Max Verstappen;1
14;Yuki Tsunoda;12
15;Max Verstappen;2
15;Yuki Tsunoda;11
16;Max Verstappen;2
16;Yuki Tsunoda;11
17;Max Verstappen;2
17;Yuki Tsunoda;11
18;Max Verstappen;1
18;Yuki Tsunoda;11
19;Max Verstappen;1
19;Yuki Tsunoda;11
20;Max Verstappen;1
20;Yuki Tsunoda;11
21;Max Verstappen;1
21;Yuki Tsunoda;11
22;Max Verstappen;1
22;Yuki Tsunoda;11
23;Max Verstappen;1
23;Yuki Tsunoda;11
24;Max Verstappen;1
24;Yuki Tsunoda;11
25;Max Verstappen;1
25;Yuki Tsunoda;11
26;Max Verstappen;1
26;Yuki Tsunoda;15
27;Max Verstappen;1
27;Yuki Tsunoda;15
28;Max Verstappen;2
28;Yuki Tsunoda;15
29;Max Verstappen;2
30;Yuki Tsunoda;14
30;Max Verstappen;1
31;Yuki Tsunoda;13
31;Max Verstappen;1
32;Yuki Tsunoda;13
32;Max Verstappen;1
33;Yuki Tsunoda;12
33;Max Verstappen;1
34;Yuki Tsunoda;12
34;Max Verstappen;1
35;Yuki Tsunoda;12
35;Max Verstappen;1
36;Yuki Tsunoda;12
36;Max Verstappen;1
37;Yuki Tsunoda;12
37;Max Verstappen;1
38;Yuki Tsunoda;12
38;Max Verstappen;1
39;Yuki Tsunoda;12
39;Max Verstappen;1
40;Yuki Tsunoda;11
40;Max Verstappen;1
41;Yuki Tsunoda;13
41;Max Verstappen;1
42;Yuki Tsunoda;11
42;Max Verstappen;1
43;Yuki Tsunoda;11
43;Max Verstappen;1
44;Yuki Tsunoda;11
44;Max Verstappen;1
45;Yuki Tsunoda;11
45;Max Verstappen;1
46;Yuki Tsunoda;11
46;Max Verstappen;1
47;Yuki Tsunoda;11
47;Max Verstappen;1
48;Yuki Tsunoda;11
48;Max Verstappen;1
49;Yuki Tsunoda;11
49;Max Verstappen;1
50;Yuki Tsunoda;11
50;Max Verstappen;1
51;Yuki Tsunoda;11
51;Max Verstappen;1
52;Yuki Tsunoda;11
52;Max Verstappen;1
53;Yuki Tsunoda;11
53;Max Verstappen;1
54;Yuki Tsunoda;11
55;Max Verstappen;1
55;Yuki Tsunoda;11
56;Max Verstappen;1
56;Yuki Tsunoda;11
57;Max Verstappen;1
57;Yuki Tsunoda;11
